0G	ai,storage-data,l1	0G 面向 AI 的数据可用层
1000000BOB	meme	BOB Meme币
1000000MOG	meme	Mog Coin Meme
1000BONK	meme,sol-eco	Solana 上 BONK meme
1000CAT	meme	Simon's Cat Meme
1000CHEEMS	meme	Cheems狗狗Meme
1000FLOKI	meme	Floki 狗狗系meme
1000LUNC	l1	Terra Classic 公链
1000PEPE	meme	PEPE 青蛙 meme
1000RATS	btc-eco,meme	比特币BRC-20 Meme
1000SATS	btc-eco,meme	比特币铭文BRC-20龙头
1000SHIB	meme	柴犬 meme
1000XEC	pow,payment	eCash，BCH分叉支付链
1INCH	defi-blue	1inch 老牌DEX聚合
1MBABYDOGE	meme	Baby Doge狗狗Meme
2Z	depin	DoubleZero去中心化光纤网
4	meme	BNB 链 four.meme 生态
A	l1	Vaulta(原EOS)公链
AAVE	defi-blue	老牌借贷协议
ACE	gamefi	Fusionist 链游
ACH	payment	Alchemy Pay法币支付网关
ACT	meme,ai	AI叙事的Solana Meme
ACU	depin	Acurast手机算力网络
ADA	l1	Cardano 独立公链
AERO	defi-blue	Aerodrome，Base 主力DEX
AEVO	perp-dex	Aevo期权与永续DEX
AGLD	gamefi,nft-social	Loot生态游戏代币
AGT	ai	Alaya AI，Web3 AI数据网络
AIA	ai	DeAgentAI 智能体项目
AIGENSYN	ai,depin	Gensyn 去中心化机器学习算力
AIN	ai	Infinity Ground 智能体
AIO	ai	OlaXBT AI交易智能体
AIOT	depin,ai	OKZOO环境数据硬件网络
AIXBT	ai	Virtuals上的AI分析代理
AKE	ai,gamefi	Akedo 多智能体 AI 造游戏
AKT	depin,ai	Akash 去中心化算力
ALCH	ai,sol-eco	Alchemist AI应用生成
ALGO	l1	Algorand 独立公链
ALICE	gamefi,metaverse	My Neighbor Alice链游
ALLO	ai	Allora 去中心化机器学习网络
ALPINE	fan-token	阿尔派F1粉丝代币
ALT	l2	AltLayer 二层即服务
ANIME	nft-social	Azuki 动漫NFT生态
ANKR	NONE	节点RPC基建，归属不明
APE	nft-social,metaverse	BAYC生态代币
API3	oracle-bridge	API3 预言机
APR	NONE	Capricorn订单流路由,无对应板块
APT	l1	Aptos 独立公链
AR	storage-data	Arweave 永久存储
ARB	l2	Arbitrum 以太坊二层
ARC	ai,sol-eco	AI Rig Complex,Solana智能体框架
ARIA	gamefi,ai	AriaAI，AI驱动链游
ARK	l1	Ark 独立公链
ARKM	storage-data	Arkham 链上情报数据
ARPA	NONE	门限随机数基建，归属不明
ARX	privacy,sol-eco	Arcium，Solana 机密计算
ASR	fan-token	罗马俱乐部粉丝代币
ASTER	perp-dex	Aster 链上永续交易所
ASTR	l1	Astar 独立主网
AT	NONE	无法确认项目
ATH	depin,ai	Aethir GPU算力网络
ATOM	l1	Cosmos Hub 主网币
AUCTION	NONE	Bounce拍卖协议，无板块
AVA	NONE	Travala 旅行预订，无对应板块
AVAAI	ai,sol-eco	Ava AI,Solana智能体
AVAX	l1	Avalanche 独立公链
AVNT	perp-dex	Avantis 链上永续
AWE	ai,metaverse	AI代理自治世界引擎
AXL	oracle-bridge	Axelar 跨链
AXS	gamefi,metaverse	Axie Infinity 链游
AZTEC	privacy,zk,l2	Aztec 隐私ZK二层
B	meme	BUILDon BNB链meme
B2	btc-eco,l2	BSquared比特币二层
BABY	btc-eco	Babylon 比特币质押
BAN	meme,sol-eco	Comedian香蕉Meme
BANANA	NONE	Banana Gun交易机器人,无对应板块
BANANAS31	meme	BNB链香蕉Meme
BAND	oracle-bridge	Band预言机
BANK	btc-eco	Lorenzo 比特币流动性质押
BARD	btc-eco	Lombard比特币流动性质押
BAS	NONE	BNB证明服务，无对应板块
BASED	perp-dex	Hyperliquid上的永续交易App
BAT	NONE	Brave注意力广告,无对应板块
BB	btc-eco,l1	BounceBit 比特币再质押链
BCH	payment,pow	比特现金支付，PoW
BEAMX	gamefi	Beam 游戏专用网络
BEAT	gamefi	Audiera 音乐节奏链游
BEL	NONE	老DeFi聚合器，归属不明
BERA	l1	Berachain 独立公链
BICO	NONE	账户抽象中间件,无对应板块
BIGTIME	gamefi	Big Time 链游
